04-07-2020,Manhattan,New York,36061,605,605
04-07-2020,Queens,New York,36081,1948,1948
04-07-2020,Staten Island,New York,36085,630,630
12-26-2020,Bronx,New York,36005,532,532
12-26-2020,Brooklyn,New York,36047,1016,1016
12-26-2020,Manhattan,New York,36061,427,427
12-26-2020,Queens,New York,36081,1064,1064
12-26-2020,Staten Island,New York,36085,392,392
03-30-2020,Bronx,New York,36005,1313,1313
03-30-2020,Brooklyn,New York,36047,1754,1754
03-30-2020,Manhattan,New York,36061,807,807
03-30-2020,Queens,New York,36081,1856,1856
03-30-2020,Staten Island,New York,36085,398,398
06-13-2020,Bronx,New York,36005,46,46
06-13-2020,Brooklyn,New York,36047,52,52
06-13-2020,Manhattan,New York,36061,24,24
06-13-2020,Queens,New York,36081,73,73
06-13-2020,Staten Island,New York,36085,2,2
07-17-2020,Bronx,New York,36005,75,75
07-17-2020,Brooklyn,New York,36047,105,105
07-17-2020,Manhattan,New York,36061,109,109
07-17-2020,Queens,New York,36081,105,105
07-17-2020,Staten Island,New York,36085,23,23
10-07-2020,Bronx,New York,36005,75,75
10-07-2020,Brooklyn,New York,36047,223,223
10-07-2020,Manhattan,New York,36061,75,75
10-07-2020,Queens,New York,36081,132,132
10-07-2020,Staten Island,New York,36085,37,37
04-10-2020,Bronx,New York,36005,1228,1228
04-10-2020,Brooklyn,New York,36047,1153,1153
04-10-2020,Manhattan,New York,36061,496,496
04-10-2020,Queens,New York,36081,1334,1334
04-10-2020,Staten Island,New York,36085,300,300
01-03-2021,Bronx,New York,36005,494,494
01-03-2021,Brooklyn,New York,36047,1043,1043
01-03-2021,Manhattan,New York,36061,387,387
01-03-2021,Queens,New York,36081,1085,1085
01-03-2021,Staten Island,New York,36085,394,394
11-04-2020,Bronx,New York,36005,185,185
11-04-2020,Brooklyn,New York,36047,309,309
11-04-2020,Manhattan,New York,36061,200,200
11-04-2020,Queens,New York,36081,276,276
11-04-2020,Staten Island,New York,36085,137,137
08-29-2020,Bronx,New York,36005,28,28
08-29-2020,Brooklyn,New York,36047,38,38
08-29-2020,Manhattan,New York,36061,23,23
08-29-2020,Queens,New York,36081,32,32
08-29-2020,Staten Island,New York,36085,7,7
01-19-2021,Bronx,New York,36005,1021,1021
01-19-2021,Brooklyn,New York,36047,1361,1361
01-19-2021,Manhattan,New York,36061,683,683
01-19-2021,Queens,New York,36081,1413,1413
01-19-2021,Staten Island,New York,36085,309,309
11-18-2020,Bronx,New York,36005,307,307
